Club Name,State,City,Monthly Dues,Contact Phone,Website,Address,Prestige Level,Membership Type,Initiation Fee,Other Costs
Seminole Golf Club,FL,Juno Beach,9500,(561) 626-2000,seminolegolfclub.com,901 Seminole Blvd Juno Beach FL 33408,Elite,Private,275000,Beach Club Access: $500/month
TPC Sawgrass,FL,Ponte Vedra Beach,3500,(904) 273-3235,tpc.com/sawgrass,110 Championship Way Ponte Vedra Beach FL 32082,Championship,Semi-Private,15000,Cart Fees: $55/round
Bandon Dunes Golf Resort,OR,Bandon,2800,(541) 347-4380,bandondunesgolf.com,57744 Round Lake Dr Bandon OR 97411,Destination,Resort,8000,Lodge Discount: 20% off
Kiawah Island Golf Resort,SC,Kiawah Island,4800,(843) 266-4670,kiawahresort.com,1 Sanctuary Beach Dr Kiawah Island SC 29455,Destination,Resort,25000,Resort Amenities: $200/month
Whistling Straits,WI,Haven,3200,(920) 565-6080,destinationkohler.com,N8501 County Rd LS Haven WI 53083,Championship,Resort,12000,Spa Access: $150/day
Pebble Beach Company,CA,Pebble Beach,4500,(831) 624-3811,pebblebeach.com,1700 17 Mile Dr Pebble Beach CA 93953,Premier,Resort,20000,Hotel Discount: 15% off
Bethpage Black Course,NY,Farmingdale,150,(516) 249-0700,nysparks.com,99 Quaker Meeting House Rd Farmingdale NY 11735,Public,Public,0,Tee Time Reservations: $10
Torrey Pines Golf Course,CA,La Jolla,280,(858) 452-3226,sandiego.gov/golf,11480 N Torrey Pines Rd La Jolla CA 92037,Public,Municipal,0,Cart Rental: $45/round
Chambers Bay,WA,University Place,195,(253) 460-4653,chambersbaygolf.com,6320 Grandview Dr W University Place WA 98467,Championship,Public,0,Walking Only Course
Erin Hills Golf Course,WI,Erin,225,(262) 670-8600,erinhills.com,7169 County Rd O Erin WI 53027,Championship,Daily Fee,0,Caddie Service: $75/round
Trump National Golf Club,FL,Jupiter,12500,(561) 691-8700,trumpnationaljupiter.com,3505 W Clubhouse Dr Jupiter FL 33477,Luxury,Private,200000,Spa Services: $300/treatment
Shadow Creek Golf Course,NV,North Las Vegas,7500,(702) 791-7161,mgmresorts.com,3 Shadow Creek Dr North Las Vegas NV 89031,Ultra-Luxury,Private,350000,Helicopter Transport: $1500/trip
Streamsong Resort,FL,Bowling Green,4200,(863) 428-1000,streamsongresort.com,1000 Streamsong Dr Bowling Green FL 33834,Destination,Resort,18000,Fishing Excursions: $400/day
Sand Hills Golf Club,NE,Mullen,8500,(308) 546-2237,sandhillsgolfclub.com,1901 Sand Hills Trail Mullen NE 69152,Elite,Private,225000,Accommodations Required: $400/night
Prairie Dunes Country Club,KS,Hutchinson,3800,(620) 662-0581,prairiedunes.com,4812 E 30th Ave Hutchinson KS 67502,Traditional,Private,65000,Swimming Pool: $100/month
Crystal Downs Country Club,MI,Frankfort,4500,(231) 352-7979,crystaldowns.com,1603 Crystal Downs Dr Frankfort MI 49635,Traditional,Private,85000,Tennis Courts: $50/hour
Fisher Island Club,FL,Fisher Island,18500,(305) 535-6000,fisherislandclub.com,1 Fisher Island Dr Fisher Island FL 33109,Ultra-Luxury,Private,750000,Ferry Transportation: $25/trip
Muirfield Village Golf Club,OH,Dublin,8800,(614) 889-6700,muirfieldvillage.com,5750 Memorial Dr Dublin OH 43017,Championship,Private,175000,Tournament Viewing: $500/event
Colonial Country Club,TX,Fort Worth,4200,(817) 927-4200,colonialcountryclub.org,3735 Country Club Cir Fort Worth TX 76109,Traditional,Private,95000,Pool & Tennis: $200/month
East Lake Golf Club,GA,Atlanta,6500,(404) 373-7700,eastlakegolfclub.com,2575 Alston Dr SE Atlanta GA 30317,Championship,Private,125000,Fitness Center: $150/month
Harbour Town Golf Links,SC,Hilton Head Island,5200,(843) 363-4485,harbourtown.com,11 Lighthouse Ln Hilton Head Island SC 29928,Resort,Semi-Private,35000,Beach Access: $100/day
Quail Hollow Club,NC,Charlotte,7200,(704) 552-7000,quailhollowclub.com,3700 Gleneagles Rd Charlotte NC 28210,Championship,Private,150000,Event Hosting: $5000/event
TPC Boston,MA,Norton,2800,(508) 285-3200,tpc.com/boston,1 TPC Blvd Norton MA 02766,Championship,Semi-Private,12000,Clubhouse Dining: $500/month minimum
Caves Valley Golf Club,MD,Owings Mills,8200,(410) 356-8888,cavesvalley.com,1 Caves Valley Path Owings Mills MD 21117,Premier,Private,165000,Wedding Venue: $15000/event
Desert Mountain Club,AZ,Scottsdale,9800,(480) 488-3600,desertmountainclub.com,39402 N 104th St Scottsdale AZ 85262,Luxury,Private,225000,Spa & Wellness: $400/month
Jupiter Hills Club,FL,Tequesta,11200,(561) 746-6262,jupiterhillsclub.com,353 S US Hwy 1 Tequesta FL 33469,Elite,Private,275000,Yacht Club Access: $800/month
Fishers Island Club,NY,Fishers Island,7800,(631) 788-7221,fishersislandclub.org,1 Club Rd Fishers Island NY 06390,Traditional,Private,185000,Ferry Service: $50/round trip
Yeamans Hall Club,SC,Hanahan,6800,(843) 552-0551,yeamanshall.com,1 Yeamans Hall Rd Hanahan SC 29410,Traditional,Private,135000,Equestrian Center: $300/month
Somerset Hills Country Club,NJ,Bernardsville,8500,(908) 766-8500,shccnj.com,180 Mine Mount Rd Bernardsville NJ 07924,Premier,Private,195000,Platform Tennis: $150/month
Ridgewood Country Club,NJ,Ridgewood,6200,(201) 444-6050,ridgewoodcc.com,950 E Ridgewood Ave Ridgewood NJ 07450,Traditional,Private,115000,Multiple Sports: $250/month
Interlachen Country Club,MN,Edina,5800,(952) 922-5555,interlachencountryclub.com,6200 Interlachen Blvd Edina MN 55436,Traditional,Private,105000,Lake Activities: $200/month
Dallas Country Club,TX,Dallas,7500,(214) 521-2151,dallascc.org,4100 Beverlycrest St Dallas TX 75225,Premier,Private,165000,City Club Access: $300/month
Los Angeles Country Club,CA,Los Angeles,12800,(323) 664-2255,thelacc.org,10101 Wilshire Blvd Los Angeles CA 90024,Elite,Private,300000,Valet Service: $35/visit
Riviera Country Club,CA,Pacific Palisades,8200,(310) 454-6591,therivieracountryclub.com,1250 Capri Dr Pacific Palisades CA 90272,Elite,Private,250000,Ocean Views: Premium Location
San Francisco Golf Club,CA,San Francisco,9500,(415) 469-4122,sfgc.com,1500 Lake Merced Blvd San Francisco CA 94132,Elite,Private,225000,City Access: $400/month
Sahalee Country Club,WA,Sammamish,4800,(425) 455-5000,sahalee.com,21200 NE 28th Way Sammamish WA 98074,Championship,Private,115000,Tennis & Pool: $180/month
Hazeltine National Golf Club,MN,Chaska,6500,(952) 448-4628,hazeltine.com,1900 Hazeltine Blvd Chaska MN 55318,Championship,Private,135000,Practice Facilities: $100/month
Oak Hill Country Club,NY,Rochester,4200,(585) 586-1660,oakhillcc.com,346 Kilbourn Rd Rochester NY 14618,Traditional,Private,85000,Dining Minimum: $1500/year
Bellerive Country Club,MO,St. Louis,5500,(314) 965-3800,bellerivecc.org,1 Bellerive Country Club Dr St. Louis MO 63141,Traditional,Private,105000,Swimming & Tennis: $200/month
Valhalla Golf Club,KY,Louisville,3800,(502) 245-4475,valhalla.com,15503 Shelbyville Rd Louisville KY 40245,Championship,Private,75000,Event Hosting: $3000/event
Southern Hills Country Club,OK,Tulsa,4500,(918) 492-3351,southernhills.org,2636 E 61st St Tulsa OK 74136,Championship,Private,95000,Pool & Tennis: $150/month
